uploader_name,uploader_mid,uploader_pic,type_id,type_name,link,bvid,title,description,pic,view_count,danmaku_count,favorites_count,tag,review_count,send_date,duration,like_count,pub_seconds_ago
pcyxjy,16720403,http://i2.hdslb.com/bfs/face/f4475f7a56a13d0553f471b0ae851fc14decb4d5.jpg,199,明星舞蹈,http://www.bilibili.com/video/av412760178,BV1oV411o7w7,LISA太辣了这谁受得了！辣LISA久违的性感舞蹈来袭,"YouTube
这谁受得了！辣LISA久违的性感舞蹈来袭",//i2.hdslb.com/bfs/archive/0b5f25a89a61149bbaf408952f177f5f6dcd82f8.jpg,14760220,26106,324174,LISA,12067,1708144760,195,397673,43366259
玫香广场舞官方账号,341106704,http://i2.hdslb.com/bfs/face/b27528c0ea1d65f7bf1b155e3acdb47b49bb7ee4.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av95766069,BV1cE41157Qz,玫香广场舞《酒醉的蝴蝶》网红版，32步有教学,玫香广场舞《酒醉的蝴蝶》网红版，32步有教学,//i2.hdslb.com/bfs/archive/32a1e15c76b7b5f41963332f4f690b05b48b0446.jpg,10439295,9967,72172,"广场舞,网红,中国风,动感视频",4778,1677662720,187,95921,73848299
-陶可爱-,15049310,https://i2.hdslb.com/bfs/face/bfc23bd02dc8abfdbce09a26476413e025debea3.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114771340823455,BV1bSgkzLExQ,哇！一米八大长腿的姐姐跳AOA-短裙！还是竖屏直拍我爱死！！,"专门拍的竖屏希望大家喜欢！
摄影后期：四柚夫妇
舞蹈：AOA-Miniskirt短裙",//i1.hdslb.com/bfs/archive/74d0cff9cc7bcecffc8b9befa6f98b28554e1d20.jpg,35794,10,5193,"舞蹈,短裙,韩舞,AOA,韩国女团,舞蹈翻跳,穿搭,韩舞翻跳,竖屏,明星舞蹈",86,1751343636,82,3865,167383
x羊小雪X,23400436,https://i1.hdslb.com/bfs/face/ec97cd7747a75c4a11a631f11ed4ffb944cae37c.jpg,199,明星舞蹈,http://www.bilibili.com/video/av671047860,BV1da4y1n7Lc,【小雪】不看后悔的竖屏OL姐姐舞蹈-up down,大家新年快乐！,//i2.hdslb.com/bfs/archive/194fe04fa77d26b6a984402cb80d901015d58a95.jpg,6723869,4464,143508,"出发吧2021,舞蹈,翻跳,热舞,韩舞",1607,1690945177,87,144038,60565842
洗脑娱乐Kadz,1574965554,https://i0.hdslb.com/bfs/face/d373178bf8fc91d35f90fd8a690d1294837131bd.jpg,198,街舞,http://www.bilibili.com/video/av590851560,BV1Eq4y1Z7gT,油管超六千万播放！技巧炸裂，全身肌肉卡点！把popping玩到极致的男人,喜欢请一键三连哟~,//i0.hdslb.com/bfs/archive/8f025e25e80b92ae1c26c499e9783b5246bfe064.jpg,6867894,8326,153402,"全民娱乐家·娱乐小能手,街舞,POPPING,机械舞,舞蹈,FREESTYLE,POPPIN,这就是街舞,帅气,HIPHOP",3554,1633311673,219,520618,118199346
沛沛瑶呀爱吃糖呀,154506630,https://i0.hdslb.com/bfs/face/eb410c73c068072646f818b2356394ab16044a19.jpg,20,宅舞,http://www.bilibili.com/video/av114760200750347,BV1JFK2zhE9G,双胞胎的心电感应(/ω＼),"“...你，是谁？”“你的名字是...！”“也是沛沛瑶？！”
嘿嘿这是我的双胞胎妹妹～

舞蹈参考：《心电感应》咬人猫 BV1St4y1B7Jq",//i1.hdslb.com/bfs/archive/6dcb0b84948710bfbd1f548a75b3cd8f089b41a4.jpg,242135,93,3758,"宅舞,元气,双胞胎,心电感应,舞蹈翻跳,长视频舞蹈匠心计划",1175,1751107186,75,14083,403833
废柴獭獭奈,26273515,https://i1.hdslb.com/bfs/face/8e2b2baaf5ddd5247964c53881f936a16ff95013.jpg,20,宅舞,http://www.bilibili.com/video/av114748624536902,BV1BJKRzSEV6,还是老地图停车场的daybyday~,歌曲Tara-day by day,//i2.hdslb.com/bfs/archive/598f5ad2fc0ac6bd69562cb16af813e2afeeea19.jpg,39389,0,619,"舞蹈翻跳,BDF,韩舞翻跳",9,1751094325,86,655,416694
绝对演绎,671294576,https://i2.hdslb.com/bfs/face/abded20763f03d5cc4b14b876ae5dd20fa1bf7e1.jpg,200,国风舞蹈,http://www.bilibili.com/video/av850118371,BV1zL4y1n7Jv,【唐诗逸新舞】洛阳旧事，一舞盛唐。国家队带你看真正的绝对演绎！【超清4k美颜暴击】,"绝对演绎已于今日开启预下载，各位艺人们冲鸭！12月24日10：00正式开服！

很荣幸能邀请到唐诗逸老师出任《绝对演绎》特邀演员体验官，佟睿睿老师作为《绝对演绎》特邀美学艺术顾问。一起以剧本【洛阳旧事】的故事为蓝本，用舞蹈独特的艺术表达，为我们带来了这场视听盛宴的绝对演绎。

也期待大家跟我们一起，在《绝对演绎》的游戏中，一起演绎大唐公主李裹儿跌宕起伏的一生。

这场好戏，没你不行！",//i2.hdslb.com/bfs/archive/508feb9e0e1a354503e30c794cb001d5f202b2ef.jpg,8694098,13365,243020,"舞蹈,古典舞,中国风,唐诗逸,绝对演绎,佟睿睿,手机游戏,洛阳旧事",6608,1652431843,263,402351,99079176
木兰今天更新了吗,13547157,https://i0.hdslb.com/bfs/face/2637145de6491c22f6e6a177b44ab6cb1fbc70fc.jpg,20,宅舞,http://www.bilibili.com/video/av114771928030493,BV1ddgrzHEpg,现役小偶像的超甜宅舞翻跳🤍,"谁能想到这是我和希希去年八月约的舞呢~~
请多支持俺们砂糖心跳~~

原创振付：BV1hb4y1f7YL
督促两个拖延症终于拍了的摄影：@Ze-no  
五毛钱后期：木兰",//i1.hdslb.com/bfs/archive/7f9d880955b295ffe165029b8a7ed5be8818f2de.jpg,21909,13,1546,"可爱,双马尾,宅舞,舞蹈翻跳,tell me answer,轻舞蹈竖屏激励计划,轻舞蹈竖屏激励计划-毕业季",112,1751353082,125,1802,157937
荒草音乐,626297715,https://i0.hdslb.com/bfs/face/d7b9ec37a9b159318cbf09d9d2ce43eba6cfaa12.jpg,200,国风舞蹈,http://www.bilibili.com/video/av772966258,BV1Z14y1e7mH,央妈什么时候才能意识到，这才是国人的审美！,"素材来源：河南卫视中秋奇妙游系列
BGM：水龙吟-国家宝藏",//i1.hdslb.com/bfs/archive/15550426e030b5148a735857867e062dc7e5251f.jpg,4711512,5466,88951,"舞蹈,中国风,古典舞,中国舞,民族舞,国风,河南卫视,嫦娥奔月,李倩,朱铁雄",4844,1663005646,163,337032,88505373
一只姜老师,41152148,https://i2.hdslb.com/bfs/face/a8e3a22dc403658c850e51aeb5a62fe13eeff71f.jpg,199,明星舞蹈,http://www.bilibili.com/video/av260561726,BV1Me411g7NA,学生吵吵了一年让我跳舞，新学年放学前满足一下他们的愿望吧,看了就要好好学习！,//i2.hdslb.com/bfs/archive/96ec2e5545ca2dc4360d817b9357d78e245e5dac.jpg,17279765,14409,154920,"UP！新学期,翻跳,校园,舞蹈,Pink Venom,Blackpink,新学期,老师",10437,1680141991,125,1067074,71369028
给你一杯浅柠w,17783613,https://i0.hdslb.com/bfs/face/97bb77766d8e84554f1d900f20d30cb40a6e0488.jpg,199,明星舞蹈,http://www.bilibili.com/video/av421821732,BV1s3411t7Xk,兑 现 承 诺 ！大一学妹真的在校门口跳舞了！,"好的，其实不是校门口，是宿舍门口！但是四舍五入也算校门口了！！！
封校之后，真的每天晚上都有好多好多活动喔！！这个是在街舞社的表演～～平时晚上还有大学广场舞来着【【

摄影：范范     封面后期：兰兰",//i0.hdslb.com/bfs/archive/11fda90085bce84dc6a4c1eedb02479bd76848ef.jpg,5902266,4466,84439,"舞蹈悬赏企划第二期,舞蹈,翻跳,现场,大一,校园,可爱,双马尾,星辰工作室,bunny",6950,1669295346,85,343736,82215673
你被竺拱了,3546595578612595,https://i1.hdslb.com/bfs/face/c2c514e076cbe8effd7ea3099f6a7e0582cf9d9c.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114693595207234,BV1aENbzhECk,挑战自律第1天，今天挖矿地动山摇，真好玩，快乐，买衣服翻车记录并吐槽,-,//i1.hdslb.com/bfs/archive/e2318a30b569f1b25099268149016d887e01c858.jpg,261832,72,491,"励志,女装,挑战,减肥,逆袭,翻车,衣服,自律,生活记录,随手记录我的生活碎片,寻找100个宝藏vlogger3.0",351,1750085609,114,9204,1425410
-町枝-,455511061,https://i1.hdslb.com/bfs/face/ba1432ea99be767cf14a77754205962b0011749f.jpg,20,宅舞,http://www.bilibili.com/video/av114750469970684,BV1YZKZznECA,老师，我送的是日历...,-,//i0.hdslb.com/bfs/archive/486fcb50a13c972d4604c64d5d8eafacdc01c1dc.jpg,204421,61,4238,"可爱,宅舞,咏春,即兴舞蹈,通勤穿搭,sweetsparade,轻舞蹈竖屏激励计划,鹏友摇,轻舞蹈竖屏激励计划-毕业季",635,1751020303,63,21785,490716
荒草音乐,626297715,https://i0.hdslb.com/bfs/face/d7b9ec37a9b159318cbf09d9d2ce43eba6cfaa12.jpg,200,国风舞蹈,http://www.bilibili.com/video/av720855610,BV14Q4y167oy,自从看见了唐诗逸，才知道小说里的绝世舞姬真的存在！,唐诗逸部分舞蹈片段来源于《逆水寒 》和《雨霖铃》！,//i0.hdslb.com/bfs/archive/bc03b910453003185cfc8bbee340c75b7e5fc70f.jpg,4655523,3347,79970,"唐诗逸,古典舞,舞蹈,中国舞,中国风,现场,女神,美女,逆水寒,国风",2652,1633060872,175,351439,118450147
紫颜-小仙紫,35579222,https://i2.hdslb.com/bfs/face/e7f135eb2da6407fa1d5f63fea631e92a01876db.jpg,200,国风舞蹈,http://www.bilibili.com/video/av792294628,BV1cC4y1Q7Y3,在零下8度的大雪中跳舞能有多美？,"北京下起大雪 临时决定去拍个雪景吧 在家里找了现成衣服 脑袋上的火鸡毛是一大早闲鱼六十公里同城送来的 确实不是很合适呜呜(￣∇￣)
咱就是说舞蹈鞋被冰冻的死死的 脚脚都冻肿了也没知觉了  一度怀疑脚要坏掉了跳不了舞了以后……
 这么拼也不知道为了点啥
（还能为啥？为了要你们的三连啊啊啊我什么也没说(*¯︶¯*)

舞蹈：即兴
bgm：《雪落下的声音》周深老师版本",//i2.hdslb.com/bfs/archive/f169fb1173d6387465f8fc16a1dd9335767f088d.jpg,2049812,5390,34012,"古风,中国风,古典舞,4K,中国舞,雪落下的声音,小姐姐,雪中舞蹈,紫颜,2023热门年度盘点,一支舞总结你的2023",4830,1702735586,117,141764,48775433
晓丹小仙女儿,21648772,https://i1.hdslb.com/bfs/face/22993cc15e05c5a042ba492b531e71a92bd60454.jpg,20,宅舞,http://www.bilibili.com/video/av114264618572015,BV1ZNfwYWEvZ,让日本观众惊掉下巴的“水之呼吸”！丝滑流星锤硬控东京漫展,"和B站一块去了东京漫展~很难忘的经历啦！
感谢武道老师拍摄！
音乐：一颗狼星-海市蜃楼",//i1.hdslb.com/bfs/archive/7366c93ee2ac61b6f01e3c3970e2bbecb594d9c8.jpg,7565957,8874,130458,"日本,中国风,漫展,海市蜃楼,流星锤,4K,原创编舞,直拍,晓丹,轻舞蹈竖屏激励计划,轻舞蹈竖屏激励计划-春日季",4875,1743593359,166,723743,7917660
荒草音乐,626297715,https://i0.hdslb.com/bfs/face/d7b9ec37a9b159318cbf09d9d2ce43eba6cfaa12.jpg,200,国风舞蹈,http://www.bilibili.com/video/av698928527,BV1pm4y1t7Tm,唐诗逸这段花式起腰，完美满足了对小说里绝世舞姬的幻想！,"素材来源：逆水寒、洛阳旧事、雨霖铃等！
BGM：水龙吟",//i2.hdslb.com/bfs/archive/bb614bdec728dbce732b00f0fdc569cff1c3a952.jpg,6543303,2351,83401,"舞蹈,现在,美女,女神,中国风,古典舞,中国舞,唐诗逸,舞蹈风暴,洛阳旧事",2157,1684809135,165,369543,66701886
小师妹下山咯,347563264,https://i1.hdslb.com/bfs/face/b2281be90953ca70f48202f8bf9246f815111d98.jpg,200,国风舞蹈,http://www.bilibili.com/video/av114748440059366,BV1NKKRz8E1u,膝盖淤青竟是因为…【裸足舞2.0】,"原跳：@金刚舞蹈  诗意老师
摄像：@绯山圣瞳九命猫  
感谢赞助：@小师妹单推人  
后期：我我我我 
膝盖只是当时没注意，后来疼得不行了😖幸好后面又拍了下水的镜头，在38度温泉里泡了一下好酥服~希望我的演绎能让大家感受到这支舞的魅力~
《放灯行》是一首以《山鬼》为背景音乐创作的古典舞，大概讲述了痴情的少女与心爱男子以河灯为约，哪怕路途遥远艰难，也没有失约，可是却没有等到她的意中人，心痛无以复加，辗转反侧，最终消失在夜色中。",//i2.hdslb.com/bfs/archive/59d0769f5368636e40cfbaf7ca8ce53d4aaa13d3.jpg,54343,129,3618,"古风,国风,古典舞,中国舞,国风舞,放灯行,古风甜妹,小师妹下山咯,国风匠心奇遇记,寻找100位非遗手艺人 5.0",73,1750935105,178,3564,575916
开门啦你的小初快递,5276,https://i2.hdslb.com/bfs/face/aa74ea9869ea5bb035fde89645e4af86d0f5b2fc.jpg,199,明星舞蹈,http://www.bilibili.com/video/av94426610,BV1DE411u7xJ,性感秘书~翘班蹦迪Thumbs Up→不要告诉老板,"过年一个月没从床上起来了，该复健了
参考视频：av83768726
摄影：网管菌
后期：炉火 小初",//i0.hdslb.com/bfs/archive/261467dfa51b1bee460bf8ee5b7214a7182844ea.jpg,9310794,7226,128615,"C位挑战赛,翻跳,韩舞,小初,蹦迪,Thumbs Up,Momoland",3588,1583693868,162,134506,167817153
爱跳舞的周清欢,237748526,https://i2.hdslb.com/bfs/face/a945bbe47f8ddd17c81c2922b257e12f7592abd4.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114743406757263,BV1hRKHz2Epr,我勒个肉肉的感觉～初号,-,//i1.hdslb.com/bfs/archive/c37bd39d42717b941007f2713780a26bdae7ab82.jpg,164190,54,6295,"感觉,肉肉,小姐姐,轻舞蹈竖屏激励计划,轻舞蹈竖屏激励计划-毕业季",150,1750865419,13,10478,645602
兔叽学妹,268973566,https://i1.hdslb.com/bfs/face/0ccaeb6b04e312853f3071d8b41b35791a5b2c9b.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114780400522468,BV1wZ3HzVE37,有这样的女仆，你几点回家？,-,//i1.hdslb.com/bfs/archive/c5bdf1714e1bebe38d73ee327d5a92db24325584.jpg,18205,2,2262,"二次元,可爱,双马尾,女神,性感,身材,女仆装,诱惑,主播,手势舞",78,1751410236,10,3785,100785
蛋仙超级困,4796303,https://i2.hdslb.com/bfs/face/ee1304bfa140097cef74a190c115b229ae0240fd.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114758875351246,BV1XDKyzmE2W,大姐姐的愿望,少女时代-genie说出你的愿望,//i1.hdslb.com/bfs/archive/7d9104790dd6f0b99cfd67e89a6291097acbd333.jpg,24637,77,2282,"舞蹈,可爱,性感,舞蹈翻跳,genie,轻舞蹈竖屏激励计划,轻舞蹈竖屏激励计划-毕业季",77,1751081767,74,2589,429254
水兵月野兔兔,94215602,https://i2.hdslb.com/bfs/face/51630575a012c8eb95c608bcb8a67d8fd342f4d3.jpg,154,舞蹈综合,http://www.bilibili.com/video/av217065614,BV1aa411V7Se,大摆锤yyds，丝滑吊带裙，跳舞机怎么少的了这首歌呢,大摆锤是常备曲目,//i0.hdslb.com/bfs/archive/0de8462d73690fa24522f0d5a2dd18948c42e1eb.jpg,6134721,6383,115131,"轻舞蹈创作激励计划第六期,跳舞机",3502,1675592154,134,302468,75918867
爱跳舞的周清欢,237748526,https://i2.hdslb.com/bfs/face/a945bbe47f8ddd17c81c2922b257e12f7592abd4.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114499818358368,BV1aREFznEgy,又是好好爱自己的一天～,-,//i2.hdslb.com/bfs/archive/d7570502dcff727f34d3df5703cbb223006a4828.jpg,244434,22,12582,"宅舞,即兴舞蹈,舞蹈翻跳",160,1747154817,14,19787,4356204
Huhu安,284194350,https://i0.hdslb.com/bfs/face/c8bf37e02616271cec237834907776b1d169e638.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114693377171267,BV195NbzPESr,笑嘻嘻的把舞娘又跳了一遍～,-,//i2.hdslb.com/bfs/archive/810e23275d30bdd65e63cdbec7c62aa27947a68e.jpg,277899,91,5264,"搞笑,舞娘,气氛,即兴舞蹈,舞蹈翻跳,尬舞,dance,轻舞蹈竖屏激励计划,轻舞蹈竖屏激励计划-毕业季",317,1750502781,73,12544,1008240
安藤AA,11875132,https://i1.hdslb.com/bfs/face/8a8c6abb7550ea2c768ece88a226bdfa6989c936.jpg,198,街舞,http://www.bilibili.com/video/av114778991232736,BV1YS3nzfECL,当我去上欧美老师的课差点累死在地上,主要是想存档一下剪个视频手机没内存了淦,//i2.hdslb.com/bfs/archive/013cb52ec6085f48cacbe4d8929711679296b39c.jpg,15988,2,75,"欧美,爵士舞,dance,上课日常",12,1751388876,60,468,122145
宫本绘,19936565,https://i2.hdslb.com/bfs/face/12dbec115c5e6d8b28c7aef333f8b9c42e2edf11.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114777128966520,BV1FAgDzSEjX,好丝滑的扫腿舞！,-,//i2.hdslb.com/bfs/archive/8c9bacf280bc57822d5d0e34d915bb9c58e54094.jpg,43996,9,5811,"女神,性感,热舞,诱惑,高跟鞋,大长腿,小姐姐,穿搭",91,1751419022,25,5935,91999
恬欣欣的成长日记,2804493,https://i0.hdslb.com/bfs/face/a2f1b263e66e32820721aa3cf8643bfd7bd7380d.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114744748940795,BV1LJKDzPEP1,请问两根带子的作用是？,-,//i2.hdslb.com/bfs/archive/c6aad111f72154ab022eea19dcb3cf24f4f9d98c.jpg,270316,249,17976,"美女,性感,穿搭",317,1751030462,25,31547,480559
小熊软糖官方认证,383854108,https://i1.hdslb.com/bfs/face/d25f2eb55221f56390254912508b644e1c0e335b.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114778051773828,BV1LVgXzDE2f,55kg的库存 现在49.5kg,-,//i2.hdslb.com/bfs/archive/f7dadd8697c058cba2fb129bdbb59564fbc93b5d.jpg,111004,19,4318,tb秀椅子舞,73,1751415502,12,5390,95519
桐言爱喝奶茶,34781714,https://i2.hdslb.com/bfs/face/6f659aeebf06a75fe4876f54c182f89a995568cb.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114761928804072,BV1T9g9zGErT,油亮跳舞机~超好看的翻跳aoa，bingbing！,-,//i1.hdslb.com/bfs/archive/b51fadab78c75a5af0d0e2ed71991239914319f4.jpg,62239,27,4364,"跳舞机,E舞成名,AOA",135,1751203317,129,3576,307704
cc君辣,128628707,https://i2.hdslb.com/bfs/face/2a8f4eb01ccda19db45d71749ee189931194221e.jpg,154,舞蹈综合,http://www.bilibili.com/video/av114770770398056,BV1mTg6zKEiV,那么帅的扫腿舞jazzgirl申请solo出战,-,//i0.hdslb.com/bfs/archive/26b7187c4fba3da63cec83c3e8415b9e87639c6e.jpg,9466,1,1051,"SOLO,跳舞,身材,爵士舞,小姐姐,即兴舞蹈,舞蹈热点情报站,cc君辣,舞蹈热点情报站7.0",53,1751263258,43,968,247763
你被竺拱了,3546595578612595,https://i1.hdslb.com/bfs/face/c2c514e076cbe8effd7ea3099f6a7e0582cf9d9c.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114698645214016,BV1yXNqzgEFL,自律失败，二连后燃尽了，重新挑战自律第0天，努力尝试寻找自律和不自律的平衡中,-,//i0.hdslb.com/bfs/archive/0aea1ae9894727683c39ae4701f1b73aa9adc8ef.jpg,641372,431,3010,"励志,挑战,减肥,逆袭,坚持,自律,戒色,生活记录,精神状态,随手记录我的生活碎片,寻找100个宝藏vlogger3.0",2039,1750163009,100,16557,1348012
浙江共青团,384298638,https://i0.hdslb.com/bfs/face/c2fe70ed0490e22eabf479af0a8a2c16bbbbc21d.jpg,154,舞蹈综合,http://www.bilibili.com/video/av49966600,BV1tb411V7Wu,每天一遍，防止抑郁。走出阴霾，走出自卑...,"YOUTUBE高清版：《我真的很不错》手语舞视频
我的朋友，我想骄傲的告诉你，哦 ··· ··· ··· ··· 真的很不错，你真的很不错，你是真的真的真的真的真的很不错...",//i0.hdslb.com/bfs/archive/ec3c30853afb7b197bf093a5db659eccfde013f0.jpg,11657265,83807,266168,"搞笑,音乐,魔性,抑郁,手语,全程高能,我真的很不错,搞笑视频,励志歌曲,三次元",18285,1677820905,255,383589,73690116
昨天的事就放下吧,3546925399804746,https://i0.hdslb.com/bfs/face/a6253f85a83f1f12adbc3a4e03a7a5c2a9435b55.jpg,154,舞蹈综合,http://www.bilibili.com/video/av114757801611080,BV16GKCzREkN,网易CC     胡椒     2025-06-27,,//i2.hdslb.com/bfs/archive/6b1dd2ce6a6598908e0867b7ad1d0272ac2603f1.jpg,2152,0,54,"舞蹈,热舞,女主播,诱惑,lol",0,1751065459,192,12,445567
南波湾学生会,587873494,https://i1.hdslb.com/bfs/face/246a40e776577edec86fb5559231a2a2c0cf7a7f.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114773119211846,BV1pNgCzNEnB,交大热舞‖师兄说，毕业以后就不能跳这样的舞蹈了,-,//i0.hdslb.com/bfs/archive/c77767450a73dfd6af1e2c1bee21588e231f5199.jpg,5519,0,143,"青春,街舞,高能,艺术节,晚会,舞蹈老师,小姐姐,舞蹈翻跳,Kpop,爵舞",2,1751299147,177,80,211879
南波湾学生会,587873494,https://i1.hdslb.com/bfs/face/246a40e776577edec86fb5559231a2a2c0cf7a7f.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114765552687968,BV1L2gZzYEYL,校庆表演的尴尬现场‖好社死啊！还好校长和老师们的笑容，一直鼓励着,-,//i0.hdslb.com/bfs/archive/2e06106a60c3046efb4ab321dc21cda403d78d14.jpg,130514,54,1704,"高能,校庆,大学生,舞蹈翻跳,Kpoo,KPOP人的翻跳日常",255,1751221907,37,2129,289119
舞王Lee,628531709,https://i2.hdslb.com/bfs/face/66ef3317e264c502b2ff8a316621615768480f27.jpg,154,舞蹈综合,http://www.bilibili.com/video/av114777934266411,BV1FKgXzxEgP,甜美可爱的女大学生在操场跳《猫步轻俏》，满满的青春校园感,甜美可爱的女大学生在操场跳《猫步轻俏》，满满的青春校园感,//i2.hdslb.com/bfs/archive/f29a1bec40e6abfd0488df57cd68a49de759908d.jpg,10503,3,910,"舞蹈,青春,学姐,大学生,女大学生,操场,青春校园,校园舞蹈,操场舞蹈,和BDF2025一起《听见WO!》,BDF2025主题曲《听见WO!》全民挑战",23,1751373571,67,648,137455
南波湾学生会,587873494,https://i1.hdslb.com/bfs/face/246a40e776577edec86fb5559231a2a2c0cf7a7f.jpg,199,明星舞蹈,http://www.bilibili.com/video/av114775216431082,BV1MJg2zpEx6,即便一身机甲，也遮不住初中妹子的青春气息,-,//i0.hdslb.com/bfs/archive/667c2623541157b5ee4ce62491ebbff3dd8529a1.jpg,12687,1,673,"街舞,高能,大学生,社团活动,舞蹈大赛,小姐姐,舞蹈翻跳,Kpop,KPOP回归前线,KPOP回归前线4.0",37,1751374956,141,280,136074
淘露玩物点映台,3546897914529888,https://i0.hdslb.com/bfs/face/85b5809c312bedf6da1af0e04cc82c882a405e8d.jpg,255,颜值·网红舞,http://www.bilibili.com/video/av114774343949469,BV1amgyzsESg,虞姬与她的小姐妹，课前准备中[踩垫子],,//i2.hdslb.com/bfs/archive/e7fb7ab5d8585223edf93cd927a20e7eec3b047f.jpg,838,0,11,"大小姐,搞笑,美女,花絮,小仙女,虞姬,玩物,踩,桃鹿,淘露",1,1751331901,30,4,179129
舒格尔Sugar,86956693,https://i1.hdslb.com/bfs/face/e75f11436297de757e5434997fa98a8c5eeed235.jpg,20,宅舞,http://www.bilibili.com/video/av114750100871521,BV1xVKfzgE8q,热带之吻✩【原创编舞】开启令人心动的夏日！KISS！,"音源来自：トロピカル・キッス (feat. 夏色花梨)BV1KqTszSERG
摄影&amp;调色：@法示羊酥 

˗ˋˏ( ´͈ ᗜ `͈ )ˎˊ˗
听夏色花梨第一首歌的时候就感叹
声音怎么会调的这么萌
其实已经偷偷编了好几首宝宝的歌了w

遇到合适的景立马录了热带之吻这一作

始まる何でもかんでもときめくサマ・サマー

就是要热化了 ̖́- ᐝ 

希望大家看的开心！",//i0.hdslb.com/bfs/archive/d400a0fcf26710f4f5bf4d76b92494e18a71f6a7.jpg,30895,35,1407,"可爱,宅舞,元气,原创振付,夏色花梨,めろくる,年度宅舞编舞征集计划,トロピカル・キッス",61,1750947713,187,1195,563317
