"uploader_name","uploader_mid","uploader_pic","type_id","type_name","link","bvid","title","description","pic","view_count","danmaku_count","favorites_count","tag","review_count","send_date","duration","like_count","pub_seconds_ago"
"贤良淑德列克星敦太太","454228982","https://i2.hdslb.com/bfs/face/d05fe51aa9fad1ac8e92d4a6c0d3b5d5f827b397.jpg","65","网络游戏","http://www.bilibili.com/video/av114588301401264","BV1P8jkzDEji","老外：这群中国人必须上军事法庭，哪有用高射炮打步兵的？!","高炮放平,勋章不停","//i0.hdslb.com/bfs/archive/40ea2c9992b522b60131b346b05d7a60bbf21199.jpg","1982909","1920","30286","游戏,中国,老外,转转,射击游戏,网络游戏,手机推荐,二手手机,战术小队,推荐宝藏游戏","792","1750095894","403","72750","2949383"
"逸白不黑","662573145","https://i0.hdslb.com/bfs/face/4b62e96f40c850f1101699a59a115e09779723b6.jpg","65","网络游戏","http://www.bilibili.com/video/av114488359519691","BV12zEMzYExQ","当我们只用ai给的物质","","//i0.hdslb.com/bfs/archive/3be94885bc710e2fd961a76ad942efc47f883e08.jpg","2197741","467","21995","和平精英,和平精英新版本激励活动,和平精英破刃行动","186","1747054530","470","12843","5990747"
"MOYIN_魔音","171691903","https://i1.hdslb.com/bfs/face/11e44708582c9674fdeb2992ec62de9d12b77199.jpg","65","网络游戏","http://www.bilibili.com/video/av1203424426","BV1nF4m1P7Z7","【MC】亲身经历：我在多玩盒子逮了个姑娘当“媳妇”💗关于联机盒子王朝年代的那些事...","现视频中出现人物均已成年","//i0.hdslb.com/bfs/archive/0cd6367a89005f8cd7fe1dadcce75d3adfdd18c7.jpg","4360171","2850","145244","回忆,我的世界,情感,游戏杂谈,沙盒游戏,经历,多玩我的世界盒子,Minecraft,多玩我的世界联机盒子,我的世界小短腿","2586","1713901558","1004","124665","39143719"
"神秘小五","487397017","https://i1.hdslb.com/bfs/face/00e3dc75caf543506128ddb7bca7f8e8b8265c2a.jpg","65","网络游戏","http://www.bilibili.com/video/av113412302505339","BV1F7DPY1EMY","最友好的实体居然是它？虽然冷门但当之无愧","-","//i2.hdslb.com/bfs/archive/f6cc80bf923f18d39ee8f4a63c262f7527a54773.jpg","5126854","1206","87481","动画,都市传说,游戏杂谈,实体,backrooms,后室","77","1730720474","78","14606","22324803"
"名游社","64116958","https://i1.hdslb.com/bfs/face/0ca11f1f7e159f848be4ef14d87042f0380f47d3.jpg","65","网络游戏","http://www.bilibili.com/video/av114575433276659","BV1ZRjUzoEFF","不会挂号的问前台！","Quarantine Zone: The Last Check","//i1.hdslb.com/bfs/archive/a73e51e43675593498b01dca6e1d6615153e0a30.jpg","1257623","516","14577","搞笑,丧尸,游戏解说,游戏实况,名游社,推荐宝藏游戏,Quarantine Zone,丧尸检察官","226","1748897262","940","12706","4148015"
"逸白不黑","662573145","https://i0.hdslb.com/bfs/face/4b62e96f40c850f1101699a59a115e09779723b6.jpg","65","网络游戏","http://www.bilibili.com/video/av114148805444458","BV17HQHYfEmu","物质的起源超体：当我们开局只有一个厕所","","//i2.hdslb.com/bfs/archive/4bbf2cd4e878d5e4f046e8f05e8ddeb95cb0309e.jpg","2820285","262","30997","玩法,和平精英,和平精英激励计划","60","1741961690","520","7788","11083587"
"绝地飞车-教主V","65991460","https://i1.hdslb.com/bfs/face/48e9e3f6dd5ac8c8996e2d005ac2f96a4d21b7ad.jpg","65","网络游戏","http://www.bilibili.com/video/av1556493512","BV161421t7i7","这两个作死的女孩，竟然爬上了高塔","","//i0.hdslb.com/bfs/archive/3707180356cd5faf687e6f93a7617b2d361a0457.jpg","5024107","53","11096","吃鸡,绝地求生,2024鸡斯卡星火计划,小美和金发妹,PUBG暑期激励计划,萌宠夏日大作战","39","1723699830","133","2468","29345447"
"坂本叔","227933","https://i2.hdslb.com/bfs/face/e6307f133bb5855de9766a08a5ab2da69c9301a6.jpg","65","网络游戏","http://www.bilibili.com/video/av114530738767418","BV1prESzVEXX","给日本人一点点中国屠夫的震撼《德州电锯杀人狂》","相关游戏：德州电锯杀人狂、
►这里是简介， 希望大家捧场，求收藏，求关注，求投币 ，填充弹幕！推荐给朋友吃安利！
♥本作改编自 1974 年的经典恐怖片《德州电锯杀人狂》，取材自 50 年代连续杀人魔 Ed Gein 的真实事迹
♥游戏支持DLSS和跨平台联机 可惜gun制作组停止了更新
►视频每周2 4 6更新！坂本微博：weibo.com/BanBenShu 更多信息请去直播简介查看！
►坂本在B站天天直播哦一般下午8-12，直播间地址：live.bilibili.com/1000 网易云ID：坂本叔","//i1.hdslb.com/bfs/archive/a0ff29dd1ddd5ec8345dc3dbfb8ed7816df5059a.jpg","577258","600","2428","实况解说,日本人,游戏解说,4K,德州电锯,Steam游戏,多人对抗,非对称对抗游戏,推荐宝藏游戏","291","1748207095","627","12903","4838182"
"逸白不黑","662573145","https://i0.hdslb.com/bfs/face/4b62e96f40c850f1101699a59a115e09779723b6.jpg","65","网络游戏","http://www.bilibili.com/video/av113938989581132","BV11APXexE7H","最差的重武器和伤害最高的普通武器破铁门区别","","//i2.hdslb.com/bfs/archive/dd3d0bd4469de4bbf7e6210d9ab51346bee3526a.jpg","4260714","258","15660","和平精英新春荣都,和平精新春荣都","90","1738667754","230","10403","14377532"
"芒果t","310787016","https://i0.hdslb.com/bfs/face/67034d569dd36d37bc97c9fc53c784ae2f104e90.jpg","65","网络游戏","http://www.bilibili.com/video/av114736746205161","BV1BLKuzREsd","CF怀旧版：开局一把刀！装备全靠捡！别再来抢我的箱子啦！","我又来咯！这次又来玩穿越火线的怀旧服啦！
这次时长也非常感人，希望能得到你的一个三连~
如果点赞突破4000，我会很快再出一期！
感谢朋友们的支持，记得关注我！更新肯定嘎嘎快！","//i0.hdslb.com/bfs/archive/a3dbf7d08dce9fc775d8de767db1e2a9b208ca62.jpg","237577","96","912","FPS,CF,穿越火线,射击游戏,电子竞技,CF突围时空,CF突围时空激励计划","108","1750755611","379","3272","2289675"
"谁不重要i","1910020454","https://i2.hdslb.com/bfs/face/d062d8c6efd378f88e106cdfb55d8b3d5cda8d01.jpg","65","网络游戏","http://www.bilibili.com/video/av1256362705","BV1ME4m1d7PQ","因为太过良心而倒闭的游戏，竟然堂堂复活【卡布西游】","审核辛苦","//i0.hdslb.com/bfs/archive/fb6bef9b219d4c9ab0a9ec06ca0d551a74fec960.jpg","4302666","3475","73551","小游戏,单机游戏,游戏解说,4399,回合制,4399小游戏,造梦西游,童年回忆杀,卡布西游,整点电子榨菜","4472","1721970092","558","244185","31075194"
"战术级子轩","3519797","https://i2.hdslb.com/bfs/face/bf735d494a76c37fd276dbcfe73e3886fbb2cfad.jpg","65","网络游戏","http://www.bilibili.com/video/av114520991209371","BV1UJEazeEmF","号主说要买巴别塔所有人的命","","//i2.hdslb.com/bfs/archive/9f74de1c00277117db205df4deacd20e96b2e628.jpg","602136","508","2445","搞笑,娱乐,巴别塔,三角洲行动整活大赏,三角洲行动烽火地带,三角洲行动欢乐剧场,三角洲行动4月激励计划","663","1747519939","481","23002","5525347"
"阿星MC","219519347","https://i2.hdslb.com/bfs/face/4bb6da010f4b473996fa36dc4ac07d26236d0aba.jpg","65","网络游戏","http://www.bilibili.com/video/av1600416407","BV1M2421c7BQ","寻找第一次驯服小狗的情感，也是找回当初的自己！","寻找第一次驯服小狗的情感，也是找回当初的自己！","//i0.hdslb.com/bfs/archive/d6a4d0c393482e7ed9055d7592215db3928682a0.jpg","5195383","416","62190","我的世界,找回自己,万物皆可游戏","104","1707749390","612","11060","45295906"
"别骂我了55","1474964775","https://i0.hdslb.com/bfs/face/484da95c9cba9ab325fd3a6f723f25a7a05b3fca.jpg","65","网络游戏","http://www.bilibili.com/video/av113039277819916","BV19vsueTENV","机甲的诞生合集 火了更","-","//i2.hdslb.com/bfs/archive/11ed92bd321c3844d6f256537478afceb9f9b589.jpg","4503787","235","81976","搞笑,队友,地铁,机甲,狗头,沙雕,地铁逃生,写写手帐唠唠嗑","148","1733031730","840","14787","20013566"
"暗区突围小船子","1463996771","https://i2.hdslb.com/bfs/face/b47d63b930d430fdc1ae3b177e15d127023cab30.jpg","65","网络游戏","http://www.bilibili.com/video/av113735146411578","BV1Vo68YmEs8","当恋爱的打手给你护航时（大合集）","-","//i1.hdslb.com/bfs/archive/8791119445e51a8dd8f81f4fb6ef0a7dffa17dcd.jpg","5028158","192","77855","爱情,娱乐,合集,绿帽哥,生活记录,暗区,暗区突围,我的暗区现状,暗区岁末百万激励","42","1735640341","488","29076","17404955"
"阿奇MC","3494375602522883","https://i2.hdslb.com/bfs/face/c9a347bfd930bd4f0accbfccc9c7a67a160abe45.jpg","65","网络游戏","http://www.bilibili.com/video/av454437380","BV1L5411C7YJ","我的世界：一次性看完30种TNT爆炸","","//i2.hdslb.com/bfs/archive/32346817c3b50777ab7b5faa5f67a5b41bebbb9e.jpg","613790","49","4081","演示,爆炸,我的世界,游戏杂谈,TNT,沙盒游戏,游戏集锦,像素风,沙雕,万物皆可游戏","5","1706486404","624","549","46558892"
"方块游戏解说吧","435297355","https://i1.hdslb.com/bfs/face/5c207ec11c7cd211ed8812f0f2d7f4b264ef8a13.jpg","65","网络游戏","http://www.bilibili.com/video/av114403148044832","BV1RsLdzqE67","我的世界：抽象派的代表，长腿的鱼，两条腿的大象","我的世界：抽象派的代表，长腿的鱼，两条腿的大象","//i0.hdslb.com/bfs/archive/0d469f28c6763a1d5583d1b60dc34a286ea8f5aa.jpg","927146","1","3035","游戏解说,我的世界,沙盒游戏,村民","0","1746323901","476","263","6721395"
"棱镜星辰","37350101","https://i2.hdslb.com/bfs/face/1840cb7389d2814e6aa70bf8ffcf9e4ddac54c5f.webp","65","网络游戏","http://www.bilibili.com/video/av114205579544912","BV16hXsYVEK3","【JOJO吃鸡】终于成了！白金之星败在了我世界的手下！我真是Hight到不行！","【JOJO吃鸡】终于成了！白金之星败在了我世界的手下！我真是Hight到不行！","//i0.hdslb.com/bfs/archive/6b3c415b4afc55ada7520e20209d6c054df2ab3f.jpg","1438194","252","17590","搞笑,世界,JOJO的奇妙冒险,JOJO,空条承太郎,迪奥,白金之星,沙雕,JOJO吃鸡","132","1743210029","265","30194","9835267"
"和平精英凌度","587248726","https://i1.hdslb.com/bfs/face/5c0379663e6fbaeb8dfc7ea5d24828251af5a64a.jpg","65","网络游戏","http://www.bilibili.com/video/av114680055991875","BV1MZM1zSE9S","全图的狗牌都在我手里。。。。请问我的变卖物呢","","//i0.hdslb.com/bfs/archive/67d4318b94bb4b46c53c1072ab61fa86a5f9913a.jpg","534607","5","1465","和平精英地铁逃生,和平精英新版本激励活动,凌大度","6","1749879860","513","405","3165442"
