uploader_name,uploader_mid,uploader_pic,type_id,type_name,link,bvid,title,description,pic,view_count,danmaku_count,favorites_count,tag,review_count,send_date,duration,like_count,pub_seconds_ago
万能老王啊,3493136168912924,https://i2.hdslb.com/bfs/face/b860e5fcd25a07ba2eb997a0084e6eb2cc8ab200.jpg,230,软件应用,http://www.bilibili.com/video/av114494852301298,BV1RkEEz3E8t,男生的天堂，这6个网站，让你从早爽到晚！,,//i2.hdslb.com/bfs/archive/ddb225dadcbbfc2cb606115f7388b88b279a6862.jpg,300291,204,15335,"游戏,黑科技,男生,游戏推荐,网站,软件应用,网站推荐,科技猎手,游戏党必备,科技猎手2025·1.0计划",464,1747367174,172,6649,4145092
魔界造物,74529609,https://i0.hdslb.com/bfs/face/09dab98bdf062bdada96ff3b558ac362313b775e.jpg,233,极客DIY,http://www.bilibili.com/video/av958569265,BV1Ap4y1P7pv,我造了一台可以在水上行驶的遥控车，这是科学，不是魔法！,"◆制作设备
遥控车：1:10维卡
3D打印机：拓竹 X1，米家光固化3d打印机
耗料：PLA，光敏树脂
遥控器：乐迪RC8X 8通道枪控

录像 ：SONY A7C 腾龙28-200
录音：罗德 VideoMic NTG /猛玛LARK MAX",//i1.hdslb.com/bfs/archive/d99252f47a6e4565289f47d57fe8573d08949384.jpg,11553273,5364,119895,"技术,DIY,机械,玩具,黑科技,航模,RC,遥控车,发明创造,万物研究所,万物研究所·奖学金计划",2027,1695008425,404,318664,56503841
老麦的工具库,486989780,https://i2.hdslb.com/bfs/face/340e09f4bb605a020c6fbefbdd81555b9e70cab6.jpg,230,软件应用,http://www.bilibili.com/video/av114391504655023,BV1UPLqzuE9r,这五个神奇的网站，真的很怕它们被封…,,//i1.hdslb.com/bfs/archive/85f511e1fb0f6f6b3be0286762b6adce9aa1fb8e.jpg,578963,171,35836,"神器,黑科技,网站,思维导图,自我学习,技能学习,神奇网站,思维导图软件,科技猎手,亿图脑图,科技猎手2025·1.0计划",111,1745671110,138,15411,5841156
鱼C-小甲鱼,314076440,https://i2.hdslb.com/bfs/face/4543ce186f9b74e60a85e66c010187bd3be3d0e1.jpg,231,计算机技术,http://www.bilibili.com/video/av114714902463688,BV1m2KwzHEz6,3天涨粉10万的AI ASMR，俺也试了试·虽然破绽百出❗️但不影响解压,"白嫖「AI GPT5.0 turbo大模型编程/论文/聊天」工具 &gt;&gt; BV13c411i7TT
宝藏学习「IT/科技/计算机/升学/就业/人文/财经」 &gt;&gt; BV1BJ41157PJ
小甲鱼AI编程课 &gt;&gt; BV1Gy6WYaEhD
小甲鱼AI视频课 &gt;&gt; BV1QU411U7fp
ASMR科普 &gt;&gt; BV1EpMqzrEk3

提示词（可自行替换主题）：
一段放松疗愈的 ASMR 影片聚焦于【请输入你要的主题动作】的声音。镜头以特写方式拍摄一个人正在进行【具体动作描述】，画面强调触感细节与自然动作。声",//i0.hdslb.com/bfs/archive/08d889b49b299e58dc8c84fcce47a496df5b912b.jpg,390029,357,3694,"高能,创意,程序员,人工智能,AI,舒服,放松,助眠,AIGC,我的手工真的很解压",391,1750426014,306,6147,1086252
小宇Boi,82363089,https://i0.hdslb.com/bfs/face/9002702b35a2245dc9a879fffdef2e02c3379639.jpg,230,软件应用,http://www.bilibili.com/video/av114352044644200,BV1JT5ez2EQt,这才是B站隐藏的真正玩法！,"获取注册时间：https://member.bilibili.com/x2/creative/h5/calendar/event?ts=0
时间戳转换工具：https://tool.chinaz.com/tools/unixtime.aspx
09年的B站：https://www.bilibili.com/blackboard/bilibili2009.html
如果视频对你有帮助记得点赞投币+关注呀~
我是小宇Boi,一个分享黑科技的封号区UP主",//i2.hdslb.com/bfs/archive/e8b29b6009f45cd7fee1b924dc2950802f230472.jpg,658344,559,42587,"哔哩哔哩,黑科技,隐藏,软件分享,App推荐,小宇Boi,科技猎手,科技猎手2025·1.0计划",394,1744945114,352,24100,6567152
大老湿gg,504835337,https://i2.hdslb.com/bfs/face/391983cf0c1c162225f040fc1419e71f1b1c5aa9.jpg,230,软件应用,http://www.bilibili.com/video/av113248892356967,BV1cC4weiEtv,建议缓存！这10个神器真的是打死也不能删....,,//i1.hdslb.com/bfs/archive/797ebca3d1ac6025b237af2a88abaf84740f6cad.jpg,3480758,22,298741,"数码,神器,黑科技,APP,隐藏功能,软件分享,软件推荐,实用软件,种草,缓存",59,1728182627,125,66836,23329639
徐工集团XCMG,97010777,https://i2.hdslb.com/bfs/face/5175574006142e5d7cf70bae7d15bf124a966323.jpg,232,科工机械,http://www.bilibili.com/video/av637959834,BV1uY4y1i7VX,火遍全网的琪琪恰恰舞，徐工挖掘机也来挑战了！,火遍全网的琪琪恰恰舞，徐工挖掘机也来挑战了！,//i0.hdslb.com/bfs/archive/6497a80420d1d3ddbeb97a360db1be8f307643bf.jpg,7180380,2666,30881,"工程机械,徐工,挖掘机,创意,搞笑,琪琪恰恰,鬼畜",3378,1649243186,65,241908,102269080
苏星河牛通,598464467,https://i2.hdslb.com/bfs/face/836a17376b6d1c21200310137256c91731045d1b.jpg,230,软件应用,http://www.bilibili.com/video/av499398202,BV1UK411N7aW,【苏星河】微信各种隐藏功能，震惊的我一愣一愣,"第一个功能确实不稳定
虽然我完美实现了
但大家还是谨慎使用！！

（结尾有惊喜，文案在动态）",//i2.hdslb.com/bfs/archive/857d28d02e35ef9eefcdfea0b8b00d608a08e682.jpg,12768149,60154,701164,"手机,微信,数码,软件,APP,测评,腾讯,教程,苏星河牛通,张小龙",15783,1644925926,625,1222256,106586340
趣共享资源,387477035,https://i2.hdslb.com/bfs/face/46fd1d663e750d54d32756e9f7c434c2500221b0.jpg,230,软件应用,http://www.bilibili.com/video/av114714516393173,BV15XKAzKECE,每天认识一个强大的网站【第48期】一个支持任意文件格式互相转换的网站，比如音频、视频、图片、PPT、文档、压缩包、电子书等格式的转换，并且完全免费。,Convertio,//i2.hdslb.com/bfs/archive/10399f9503dfbb93ed29486af60e656a0c49e9dc.jpg,17214,6,2943,"电子书,网站,格式转换,网站推荐,网站分享,电脑知识,图片格式转换,文档格式转换,电子书格式转换,科技猎手,科技猎手2025·1.0计划",24,1751200202,36,2068,312064
魔界造物,74529609,https://i0.hdslb.com/bfs/face/09dab98bdf062bdada96ff3b558ac362313b775e.jpg,233,极客DIY,http://www.bilibili.com/video/av114153956049045,BV1zTQPYLEE4,耗时8个月，我们造了台可以跨海飞行的【地效飞行器】,"简介：
设备：荣耀MagicBook Pro 14
录像 ：影石X4全景相机 /Ace Pro 2运动相机/SONY FX3 
录音：猛玛LARK MAX/ 罗德 VideoMic NTG 
材料：玻纤布/碳纤维布/凯夫拉布/XPS保温板/EPS板/椴木层板
电池: 博氏7S 16000mah串并联使用/荣耀笔记本电池
BGM：
 (No Copyright Music) Cinematic Soft Piano [Cinematic Music] by MOKKA _ Raindrop
Ryan Tau",//i1.hdslb.com/bfs/archive/6adf18749c08d2852f725c9a7ae099cc3565bb3d.jpg,3058467,5518,46127,"DIY,飞机,航空,里海怪物,无人机,轻型飞机,荣耀笔记本,荣耀MagicBookPro14,荣耀 通关本,evot",4809,1741865657,676,141607,9646609
