"uploader_name","uploader_mid","uploader_pic","type_id","type_name","link","bvid","title","description","pic","view_count","danmaku_count","favorites_count","tag","review_count","send_date","duration","like_count","pub_seconds_ago"
"Sz推理之夜","3546824214317878","https://i1.hdslb.com/bfs/face/b669f6b6290ae9d9bc357075a889b8722dd497d3.jpg","173","桌游棋牌","http://www.bilibili.com/video/av113715735172749","BV1fwCqYEEks","【推理海龟汤】惨叫的亲友，愧疚的凶手！五位侦探能否还原出发生在森林小屋中的恐怖真相？？！","【挑战粉丝】前瞻已在动态中发布，感兴趣的侦探可以前往查看

无限推荐各位侦探跟完推理过程后再观看汤底演出！

如果喜欢的话给个三连支持一下up吧~","//i1.hdslb.com/bfs/archive/4284c1535977d7295552e15f7e3e2df44460471a.jpg","1390991","2665","22912","原创,手书,插画,高智商,侦探游戏,推理悬疑,海龟汤,细思极恐,恐怖猎奇,冬日必备·美食御寒季,冬日下饭电子榨菜","1760","1736170119","1095","59302","16874981"
"木上野狐","302360384","https://i2.hdslb.com/bfs/face/b71803d414b0d415f93f79e907dbe869dcac73d3.jpg","173","桌游棋牌","http://www.bilibili.com/video/av839775624","BV1454y117ma","人类棋手最后的赞歌：柯洁 VS Alphago","","//i2.hdslb.com/bfs/archive/d23f537794ea172d5c76d0076218eccdfd0f9182.jpg","7710523","17304","58108","桌游棋牌征集令,桌游棋牌,围棋,bilibili新星计划,柯洁,Alphago,木上野狐,Deepmind","14045","1601555243","691","261251","151489857"
"达奇上校","157761","https://i0.hdslb.com/bfs/face/8afe763e25cae7b010fcd6db10f57bd54f1c2298.jpg","173","桌游棋牌","http://www.bilibili.com/video/av67024222","BV1s4411C7hk","让人类再次伟大！帝皇的崛起！ 【达奇】《战锤40K》故事第一期","大家可以去我的youtube频道点一点
这是对我最大的支持
地址
https://www.youtube.com/channel/UCfZirozU7DB0TjENuRHxByw
微博
http://weibo.com/AngryDutch","//i2.hdslb.com/bfs/archive/a013d5a560febc1d1fb5855657f68bb842985d7a.jpg","11588028","26634","193736","战锤40K,帝皇,人类之主,战锤30K,荷鲁斯之乱","6687","1650947926","935","261161","102097174"
"高斯Goh","3913194","https://i0.hdslb.com/bfs/face/d4c65b5c6be3f9d845c15401173f98b130728851.jpg","173","桌游棋牌","http://www.bilibili.com/video/av697293611","BV1Um4y1B724","你画你的我猜我的（4）","希望你喜欢这次的视频，这次是拿了《糊涂动画室》改了一下规则。
游戏的规则很简单：
一个画分成三个部分，一人画一个部分。
最后一个人来猜画了什么。
猜对了就赢了猜错了就输了。
感兴趣原版规则的小伙伴可以参考说明书。
记得三连！！！！！！！！！","//i2.hdslb.com/bfs/archive/b427a6df2ad51ada9d3bb7d71204ebb5e75a182d.jpg","9348775","19819","100944","搞笑,日常,娱乐,逗比,聚会,沙雕,闲置,桌游棋牌,整活,小潮team","3327","1681276585","851","357333","71768515"
"一拳人OPM","169896163","https://i1.hdslb.com/bfs/face/bd8e3cf52307b8a249c2d2219ca9066dd1d75292.jpg","173","桌游棋牌","http://www.bilibili.com/video/av114248931874102","BV1H8ZvYpEoA","喜欢我德意志的大坦克吗？【KARDS】","KARDS真的好玩！目前200名左右！
视频中的卡组代码：德芬断水
%%19|2L313N3YeYnDoKq9rK;3f3j3X4sjhjLnwoPoUrP;3hrL;rN
——————————————————————————
相关游戏：KARDS
催更1群：无线电静默
催更2群：764525970
催更3群：750360719
——————————————————————————
如如果观众老爷们喜欢我的视频的话 记得
点赞 收藏 硬币 关注 哦 = =","//i0.hdslb.com/bfs/archive/23cd298b53ac7bdeed5b35e2e20d8c26d562088e.jpg","2749830","2554","63259","二战,卡牌游戏,策略游戏,steam游戏解说,桌游棋牌,KARDS,推荐宝藏游戏","1107","1743324728","685","71060","9720372"
"高斯Goh","3913194","https://i0.hdslb.com/bfs/face/d4c65b5c6be3f9d845c15401173f98b130728851.jpg","173","桌游棋牌","http://www.bilibili.com/video/av282978174","BV1dc411r7Cf","游戏输了，但是嘴是硬的","希望你喜欢这次的视频，这次玩的游戏是《赎罪之旅》。
游戏的规则很简单：
把手里的牌打完三次就赢了。
第一次抽6张牌，打完之后第二次抽4张牌，第三次抽2张牌。
打完第三次时，获胜。
打牌时，以下三条规则要满足其一：
① 同花色；②同数字；③顺子。
打出牌后，执行数字最大的一张牌的效果；同数字时自己选定一张执行效果。
不同的牌有不同的效果，能帮助自己逃牌或阻碍对方逃牌。
记得三连！！！！！！！！！！！","//i1.hdslb.com/bfs/archive/487c50905a9fd866897bbc79b3807f76b9597791.jpg","9439873","50573","116141","搞笑,日常,聚会,幽默,沙雕,vlog,整活,小潮team,赎罪之旅,桌游棋牌那点事儿,桌游棋牌创作营第十二期","5182","1704000418","1087","368068","49044682"
"生命幻象","742365","https://i0.hdslb.com/bfs/face/24677ec403a008581b3743af217584543228a14d.jpg","173","桌游棋牌","http://www.bilibili.com/video/av1756325646","BV1T4421S74R","找来三个懂中文的歪果仁，然后让他们互相欺骗！【真假话大冒险#3】","本期嘉宾：生命幻象、银杏Kyou、星宮汐Official、小広要碎觉觉
第三期了！期待这个系列能继续做下去！
这期让小広来参加一下，有意思！","//i2.hdslb.com/bfs/archive/4727150cecde0e25ec30103044f47885018d18dc.jpg","1627396","2779","66378","日本,搞笑,妹子,逗比,歪果仁,沙雕,聚会游戏,派对游戏,虚拟主播的Fun Game时刻","654","1723872294","1344","60153","29172806"
"高斯Goh","3913194","https://i0.hdslb.com/bfs/face/d4c65b5c6be3f9d845c15401173f98b130728851.jpg","173","桌游棋牌","http://www.bilibili.com/video/av231762529","BV1V8411d7jK","这该死的胜负欲","希望你喜欢这次的视频，这次玩的游戏叫做《魔手成规》
游戏的规则很简单：
轮到你时，抽牌；
遵守牌上的规则，如果不能做到会扣分。
抽到金色的牌时，所有牌换成分数。
获得10分以上，再次抽到金色的牌，获胜。
或者游戏结束时，分最高的玩家获胜。
记得三连！！！！！！！！！！！","//i2.hdslb.com/bfs/archive/b4ff900b4198ea1c6dd160c72e28623cc1140444.jpg","15738963","60853","203641","生活,搞笑,日常,娱乐,逗比,沙雕,桌游棋牌,小潮team,桌游棋牌那点事儿,魔手成规,暑期棋类活动","9090","1691141514","1340","665330","61903586"
"摸魚的游戏","525742885","https://i1.hdslb.com/bfs/face/c83f487c690aeb7bcbf815148fb96249f6dd4c26.jpg","173","桌游棋牌","http://www.bilibili.com/video/av114136725855616","BV1PFRVYXEcf","【KARDS】雪地里再次传来芬兰语","","//i2.hdslb.com/bfs/archive/5bc69c7454973eb09a298648bf0f718fa5159243.jpg","2218889","1719","69503","原创作品,白色死神,二战历史,桌游棋牌,KARDS","2209","1742449964","75","175519","10595136"
"皇帝的衣柜","364771678","https://i1.hdslb.com/bfs/face/7f57e5d5d8a2845f2fafb555879ce2b9d00074d2.jpg","173","桌游棋牌","http://www.bilibili.com/video/av114771105945811","BV1Qcg6zgEsj","双方同时汗流浃背，都不想看到的一幕出现了！","感谢 哆啦A只是个梦、  老猪王海洋的充电，非常感谢大家的支持！","//i2.hdslb.com/bfs/archive/f5a0b1a1a04b58d1c88041ad4350a0431da05406.jpg","145863","669","665","解说,童年回忆,策略,军棋,桌游棋牌,整点电子榨菜,整点电子榨菜第22期","373","1751310939","630","10348","1734161"
