cate_id,tid_name,tid_prob
21,日常,0.103543956
172,手机游戏,0.092615108
17,单机游戏,0.083760656
65,网络游戏,0.06604174
95,数码,0.058317132
183,影视剪辑,0.03750131
27,综合,0.035162964
171,电子竞技,0.025404628
208,校园学习,0.023178767
138,搞笑,0.020632878
162,绘画,0.019053873
242,娱乐粉丝创作,0.018523458
239,家居房产,0.017289946
250,出行,0.016711447
228,人文历史,0.015901548
85,小剧场,0.015782264
137,明星综合,0.015215879
29,音乐现场,0.013311901
130,音乐综合,0.013261468
207,财经商业,0.011744268
232,科工机械,0.011352421
47,同人·手书,0.011348219
254,亲子,0.010655009
201,科学科普,0.010474537
31,翻唱,0.009956731
124,社科·法律·心理,0.008607766
176,汽车生活,0.008587741
158,穿搭,0.008253744
168,国产原创相关,0.008191692
161,手工,0.008114064
173,桌游棋牌,0.007908623
164,健身,0.007469928
182,影视杂谈,0.007388098
136,音游,0.007013927
209,职业职场,0.006782899
256,短片,0.006539756
218,喵星人,0.006454712
231,计算机技术,0.005810205
157,美妆护肤,0.005630722
215,美食记录,0.005499694
59,演奏,0.005318357
241,娱乐杂谈,0.005188071
252,仿妆cos,0.005091408
236,竞技体育,0.004800057
238,运动综合,0.00453862
249,足球,0.004411424
86,特摄,0.004397086
76,美食制作,0.004154437
230,软件应用,0.004025017
154,舞蹈综合,0.003993496
210,模玩·周边,0.003952581
193,MV,0.003690031
251,三农,0.003558757
71,综艺,0.00354553
222,小宠异宠,0.003461351
219,汪星人,0.003342438
197,综合,0.002892494
122,野生技能协会,0.00284305
247,新能源车,0.002823272
26,音MAD,0.002715113
184,预告·资讯,0.002704482
24,MAD·AMV,0.00258013
28,原创音乐,0.002489894
235,篮球,0.002412884
253,动漫杂谈,0.002412142
221,野生动物,0.002404478
229,设计·创意,0.002397927
25,MMD·3D,0.00213921
159,时尚潮流,0.001978145
257,配音,0.001957254
199,明星舞蹈,0.001910406
212,美食侦探,0.001870974
205,社会,0.001831666
240,摩托车,0.001777648
213,美食测评,0.001638709
237,运动文化,0.001605458
20,宅舞,0.001556879
121,GMV,0.00142956
244,音乐教学,0.00133302
233,极客DIY,0.001149087
195,动态漫·广播剧,0.001120532
245,赛车,0.00106157
30,VOCALOID·UTAU,0.000973188
255,颜值·网红舞,0.00096948
246,改装玩车,0.000962558
243,乐评盘点,0.000905944
22,鬼畜调教,0.000886908
75,动物综合,0.000787154
227,购车攻略,0.000784805
198,街舞,0.000765522
200,国风舞蹈,0.000552788
261,影视综合,0.000550316
174,其他,0.000541168
216,鬼畜剧场,0.000511873
263,颜值安利,0.000511873
152,官方延伸,0.000392341
214,田园美食,0.000346605
220,动物二创,0.000345616
260,影视整活,0.000321388
264,娱乐资讯,0.000281091
153,国产动画,0.00027763
262,CP安利,0.000276517
267,电台,0.000271697
170,资讯,0.000252908
248,房车,0.000237951
265,AI音乐,0.000205318
169,布袋戏,0.000181708
156,舞蹈教程,0.00018109
19,Mugen,0.000178247
259,AI影像,0.000167616
51,资讯,0.000150434
266,音乐粉丝饭拍,0.000127196
203,热点,0.000110384
258,汽车知识科普,8.52915E-05
180,社会·美食·旅行,7.21887E-05
126,人力VOCALOID,6.94693E-05
206,综合,6.66263E-05
204,环球,6.5761E-05
127,教程演示,4.7961E-05
37,人文·历史,3.12735E-05
32,完结动画,1.35972E-05
179,军事,1.26083E-05
33,连载动画,8.89998E-06
178,科学·探索·自然,5.6861E-06
185,国产剧,5.6861E-06
147,国产电影,2.59583E-06
187,海外剧,2.10138E-06
145,欧美电影,6.18054E-07
