bvid,aid,videos,tid,tid_v2,tname,tname_v2,pic,title,pubdate,duration,mid,name,face,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
BV16m8kzLEyM,114945505105025,1,228,2088,人文历史,社会观察,http://i0.hdslb.com/bfs/archive/a31444e95af9cbbe1c7e2b6480fcfe426929ce4b.jpg,释永信：五奶和尚？挪用善款？见教皇？见伊玛目？让佛祖商业化？这或许不应是玷污佛门的娱乐大瓜……|自说自话的总裁,1753935149,1804,385805493,自说自话的总裁,https://i0.hdslb.com/bfs/face/c3d0329670bf965dd35c9f2b668600b862c46daa.jpg,879397,6841,2841,6819,2271,3395,0,0,16010
BV1m38CzfEKb,114945236733907,1,65,2064,网络游戏,单人RPG游戏,http://i0.hdslb.com/bfs/archive/4fb4600219411943d33883639857b69af06f5670.jpg,当你不审题就开始做卷子,1753925526,658,288333929,腮梨国王,https://i2.hdslb.com/bfs/face/d0f768f1631625c04021b577cc1cbe6c104a7251.jpg,572446,3866,5492,6844,10902,7076,0,0,56840
BV1HWh7zUEf5,114951360350735,1,71,2153,综艺,美食综合,http://i1.hdslb.com/bfs/archive/7967e77e3077808f1b78ea6ff7ae53e719611208.jpg,网红厨师全军覆没！街头夜宵让评委欲罢不能！【一饭封神】01（下）,1754018608,1298,7722202,成员外,https://i1.hdslb.com/bfs/face/45334dea9742ad9def1dfbc0a6aff0f74b496510.jpg,973762,4839,2157,3408,1608,1057,0,0,9725
BV148hAzEEEi,114941159867396,1,157,2184,美妆护肤,医疗保健综合,http://i1.hdslb.com/bfs/archive/c7266f25a03d660919de5d0eccbdd499a118c98a.jpg,爱笑的女孩，每天八颗牙齿晒太阳！,1753869635,236,1072317049,宝剑嫂的小世界,https://i1.hdslb.com/bfs/face/321f06cceb4e69d6dce812c48a06cfcb40db51c5.jpg,238431,235,420,877,1182,106,0,0,15678
BV1fvtgzjEcj,114969043534133,1,137,2024,明星综合,电台·歌单,http://i2.hdslb.com/bfs/archive/e96e4ae37bd2be49d4cd2eb359f9b5537add3cf7.jpg,[HANIWAJJONG] '净汉的Playlist: 夏天',1754312640,1521,692206640,SEVENTEEN,https://i2.hdslb.com/bfs/face/6e38f8bbbc91684eea8cac8b4b49f2a5da7623e2.jpg,77518,2192,696,3706,2711,1838,0,0,11587
BV1kS82z8EPy,114949229642852,1,95,2099,数码,电脑,http://i2.hdslb.com/bfs/archive/c17d22d5564fdaa729f3c94a213db062621407c7.jpg,给粉丝打造的第一台5080超级旗舰【桌面级笔记本电脑】,1753986180,164,3546857892481348,小船科技,https://i1.hdslb.com/bfs/face/b78fa097031e4c0c9edb110ff9125401114f663a.jpg,337098,1808,1568,2529,589,1967,0,0,7115
BV1pghuzxEqP,114963137958967,1,213,2151,美食测评,美食测评,http://i2.hdslb.com/bfs/archive/90070957656da15f076ea3ba9a3b40598d8ca3c9.jpg,非洲顶级大鲍鱼，居然会爆浆，做土豪盖饭壕无人性,1754294400,287,476704454,小文哥吃吃吃,https://i2.hdslb.com/bfs/face/a70aa74915d9e1e3282312b2b6759bc4aae1ed18.jpg,519174,994,406,1867,2486,609,0,0,26168
BV11Ft3zFE1d,114968775102245,1,65,2071,网络游戏,射击游戏,http://i1.hdslb.com/bfs/archive/12cf01a74aa46a3a6c6a40c3e70596af0dcc4835.jpg,致永不服输的自己,1754284685,520,626785817,东山小红爱跑刀,https://i2.hdslb.com/bfs/face/a3cd5eea5b6d67a3db5776e2ce93c60dc1ac37b6.jpg,170745,153,501,999,1208,53,0,0,15063
BV1jk81zjENh,114947820361611,1,17,2154,单机游戏,剧情演绎,http://i2.hdslb.com/bfs/archive/f8a9b6b6248e1002feb6e8ae394692d167510457.jpg,添加了最新的防沉迷系统,1753965271,160,456782283,在下乌鸦有何贵干,https://i0.hdslb.com/bfs/face/f4602cdd81f3f83bd6f41dc9c96a8c32a1824ef0.jpg,443112,221,167,1610,746,130,0,0,19812
BV16BhHzREww,114953071697393,1,47,2055,同人·手书,二次元绘画,http://i2.hdslb.com/bfs/archive/d09546b48776b04e4cef2f5818c50bba402376b6.jpg,这些原神/崩铁图将不再更新！,1754045198,63,3494365922069299,青辞川,https://i1.hdslb.com/bfs/face/0bda5aeedffb252a36e64ada139ccc89c623dddf.jpg,1723834,241,2847,43543,55112,778,0,33,291287
BV1EthPzzEx8,114960051079988,1,17,2078,单机游戏,沙盒类,http://i1.hdslb.com/bfs/archive/6e4d8b02d303b1b5dff97f57b27ccc90e38ca217.jpg,我的世界：狙击枪每升五级进化一次，最后直接无敌了,1754182800,471,2131909,特技是我,https://i1.hdslb.com/bfs/face/a124bd9ef449970bb015f047959f715102ddfd53.jpg,944502,664,78,41394,2505,32,0,88,43194
BV15chbzPE6P,114957215603801,1,205,2082,社会,社会资讯,http://i1.hdslb.com/bfs/archive/3d9f326e005fdb8270310af90038129281531fcf.jpg,【1818黄金眼】守望先锋账号被封 小伙：“男摩西”真没必要开挂,1754108067,191,354077280,1818黄金眼,https://i0.hdslb.com/bfs/face/30f3ff3f2af66abbbcc6a93c8b65e7886d33b88c.jpg,720176,3067,5072,10018,9128,58629,0,0,36088
BV1GPtgzBEXF,114969379081117,1,182,2001,影视杂谈,影视解读,http://i0.hdslb.com/bfs/archive/51c2fa06e99bb57f3df3c784a0c98209620af632.jpg,把前妻拍成恐怖片恶心反派！导演你这取材是真够生活化啊！,1754295604,280,145750219,电影冷知识,https://i1.hdslb.com/bfs/face/f1df42e1b2d69b29176f142a0d40f856fb60f82d.jpg,313003,544,314,2749,577,123,0,0,35067
BV1d1tGz7E9E,114970033395393,1,228,2207,人文历史,随拍·综合,http://i2.hdslb.com/bfs/archive/1bab3f7f1c7d647747acaeea7b7aaff5eb5d169f.jpg,他把命当“游戏”玩？把世界变成程序的奇怪男人。,1754303765,1185,20466996,heya的万事屋,https://i0.hdslb.com/bfs/face/b56cd92f2a410190c86f832cb5784c2ee4d3f59b.jpg,35884,577,143,1509,850,160,0,0,2276
BV1Kw82zYEa3,114947669365938,1,95,2100,数码,手机,http://i2.hdslb.com/bfs/archive/eb6be963b161f94fccc42db2a82117649c9ad120.jpg,试用完三星最新的折叠屏，我觉得OneUI简直神了。。。【X.PIN】,1753963351,689,31880257,差评硬件部,https://i1.hdslb.com/bfs/face/224f69a9c045d4c66936620e2cb3feb2054ed43b.jpg,604172,1363,1359,1842,849,840,0,0,10305
BV17wtGzmEpC,114970503156673,1,212,2150,美食侦探,美食探店,http://i1.hdslb.com/bfs/archive/0d999222779ef11944b2c29c921cb1805f5b2529.jpg,700块钱吃一顿和牛值不值？,1754311087,256,15282571,耶叔的四方食事,https://i1.hdslb.com/bfs/face/aa5694d17937bea569746793551e2b1ffa1749d6.jpg,149215,605,519,609,976,318,0,0,11175
BV12dh4zmE31,114956108306837,1,164,2128,健身,健身科普,http://i0.hdslb.com/bfs/archive/b00b3ad963eb326406576fcc3c94639294c8e7f4.jpg,独家｜北美运动学博士深度分析堂主体检报告,1754100000,871,1387592680,北美运动学博士Bruce_PhD,https://i1.hdslb.com/bfs/face/7b8cce70b0937a5c158d297324612fb2d119f4e6.jpg,1314219,12805,3570,16590,28362,3905,0,65,100804
BV1gHhAz9EAd,114941176580295,1,216,2063,鬼畜剧场,鬼畜综合,http://i1.hdslb.com/bfs/archive/4af966c306ae8c457de7407140a92896c2e0c0d5.jpg,【鬼畜动漫】理塘超人 戒烟公益广告,1753864732,112,608798547,哥谭市汽修职业学院,https://i0.hdslb.com/bfs/face/34fab360d775c9de0a48bd56c38789d0b145886a.jpg,2011253,1268,2434,37540,32870,28281,0,33,175397
BV1bZhgzGEZ7,114964446579210,1,253,2055,动漫杂谈,二次元绘画,http://i2.hdslb.com/bfs/archive/f9302ee04e6ac66b4b62c65426054ec79afae5f2.jpg,"出道25年，发明二次元""最出圈的人脸?""：武内崇",1754386200,914,1682714,昨夜梦中,https://i2.hdslb.com/bfs/face/5a2eb78dbed8b90c44a4a8a7feb7406791a70605.jpg,32002,186,240,1136,571,225,0,0,2300
BV1Hp4RzgEn3,114976878499788,1,201,2094,科学科普,科学科普,http://i1.hdslb.com/bfs/archive/cdba777de76076bd9ef4bf24a893a3a88495bde7.jpg,这次广东特大暴雨，到底有多厉害，为什么会这么厉害？,1754408745,241,547072854,中气爱,https://i0.hdslb.com/bfs/face/e5f6be30a18988ed92f677e6a47a346270172081.jpg,171472,715,2133,924,552,1401,0,0,10950
